id,viewCount,likeCount,commentCount
eNu37i27NYQ,391243,13234,598
C5kIQ9zpjRI,265214300,6554182,24222
sj5mmSSKAgY,121251331,5312061,17229
Ay_g-rgkIsY,34424226,610385,873
fLeJJPxua3E,3884295,83174,589
YP4qT43o8g8,1502521,79904,195
s8eRRrLkHFI,91742797,371667,269
ILu5rU5dfzk,50312143,852129,3605
QEzMKfFay4g,126532700,1713593,409
j01Hg4QJ6NE,9747959,563156,13097
SUFRN-b6D60,3628354,12930,363
NUPdjQ1-tHA,7514286,602802,48869
_5ht4dvkicQ,378819,28144,264
ocSA8IJw8tc,9254705,329767,9432
4cu1EpWh5YI,748935,39951,208
L92xE4R8iwc,17163,1591,19
bP3rY2wxTCk,2129z11,4829,
eCOtq_brGxE,65908569,975659,2202
kcMQxQbTwOA,206390,11904,90
-I8eIx76JTc,80008,13996,34
0Znvum3WikA,2385109,46206,926
jAUDFkj6NGE,334481,20255,178
GfQlrZKYLv4,16421,221,7
HenSb4WKLx4,210704,5725,570
uWuAt7TN460,255484,16337,142
i5s9Ekbkm5M,672320,12922,672
biKkcU9K4uA,1689271,123620,229
nrv-klkvZio,54080,5418,36
E3M3uHdT6Uw,602941,40562,748
iq-Tp7D9olY,11416864,1026012,2852
Da830V1avCA,87955,6632,157
TImjgm4aCMc,16201,1340,31
WkXRlICsKfg,328446,21441,246
sfTRxACUKN0,36484,507,40
tnf4naDLFoo,183355,13024,197
zxQuS6RUv1o,1030443,0,
A6NtETPLnuE,31823,2332,39
kFdj-GQNRkc,2194798,143626,305
Gpzr7yoEFF8,36027321,2630444,2004
vmOvxq_v3tM,132958,10385,47
LGLECarNLqg,14908763,1177868,2049
rjcbWCP7GTU,571075,0,
izuwvdP03U0,262506,14983,112
ug-MWvuhw1M,12579296,786029,752
tff-ONDgHbE,24811,1781,48
OYqdAfPaRPY,2403929,180499,298
_caU9liHJc4,1179760,37892,82
6XyrjZ37eSg,174676,12063,55
L40sVzEsmPs,193596,12727,88
RclYIk62SV0,603318,33187,131
40ZQy-qAJYI,341675,3716,202
z1AaUlFf9xY,1845714,9551,137
KGuW1cr3K7c,3936416,115120,5243
KRu0xOP5XKM,2776640,17679,655
xbS6i3nDbf0,297841,6536,83
rrMiZO5gJHw,9693144,61436,998
QpKF_bkPOhE,325066,1642,31
1ENAvF0h_yc,2080021,8348,157
J471UWbWy2c,19697425,90864,2014
1tvDX2ks94o,416836,9898,380
DAHEfO9bz34,2340164,24583,224
P2oyy_3EzpE,514345,2399,47
g8aX8WOJq5s,104462,1541,23
6vcqyLCq5cQ,20603293,104364,3493
vM50SsZ4K_A,812192,6424,147
85_wD1QVF5A,1863707,8082,188
fmMlyb0Sx7Q,9676171,94900,1756
pyiXrr-crH8,6539863,113592,18613
SrMZBdCLEck,29036,655,51
z7dldjRGO1Q,4291809,41330,558
r7GagTH1YBA,1094396,16974,164
no1BrGVi4EU,500700,7765,435
3MWbPBzc9D8,28855047,193811,8685
nnVFezGBNV4,92234,2883,140
26i67__Yw7c,73191,2941,601
W4iljkT2MM8,1626597,7697,57
1FUzZDiWsbA,1251624,16841,429
F3_t-CVYP3Q,100011,889,10
fjAu-whGC2M,791322,17377,1072
LNF4yr8HIv0,2366895,50016,3739
0jmdEvSzGvA,684629,6827,218
EOnZswhnOzM,2686006,14130,206
WK-0N-SWiJU,8266367,84618,3006
L78RLCfjvAg,42982,770,44
sZUs4Vbk-f0,53373592,383996,16315
UJOZIqBs55M,1651875,5884,208
vqoGdxtXjGM,251705,5003,76
Y6MnMxkeZEE,2669873,5569,340
s7Ag3Lk11co,200235,4452,94
zAimzm9Io3c,17431,327,15
nXOroUomnjA,1741688,26116,1018
atbvAZHinbA,343969,3115,90
BTg0jrWgcnA,242516,2869,62
ph899L2YXJ0,548233,4425,84
cH9NUFacExM,583797,9169,185
